horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.43,2,0.9,mondrian,baseline,66,0.9393939393939394,0.8520324360541544,0.983241777301832,0.039393939393939426,0.06060606060606061,1.1144554883157927,0.15554166440563472,13.653865039876894,,gp
1.5,1,1.43,2,0.95,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1654533759007761,0.2037589409307241,16.20504509155984,,gp
1.5,1,1.43,2,0.95,marginal,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1654533759007761,0.2037589409307241,16.20504509155984,,gp
1.5,1,1.43,2,0.95,adaptive,ALL,66,0.9242424242424242,0.8319934099362835,0.9749443870832766,-0.025757575757575757,0.07575757575757576,1.1767740091325627,0.2348984871510978,17.87211699001543,,gp
1.5,1,1.43,2,0.95,adaptive,baseline,66,0.9242424242424242,0.8319934099362835,0.9749443870832766,-0.025757575757575757,0.07575757575757576,1.1767740091325627,0.2348984871510978,17.87211699001543,,gp
1.5,1,1.43,2,0.95,mondrian,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1506295077396171,0.18817681987799167,15.317632023330665,,gp
1.5,1,1.43,2,0.95,mondrian,baseline,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1506295077396171,0.18817681987799167,15.317632023330665,,gp
1.5,1,1.43,3,0.8,marginal,ALL,66,0.7424242424242424,0.6199387593265298,0.8422336207426877,-0.05757575757575761,0.25757575757575757,1.090480165342526,0.16055722066441952,18.27315799612127,,gp
1.5,1,1.43,3,0.8,marginal,baseline,32,0.78125,0.6002717362878925,0.9072284677152807,-0.018750000000000044,0.21875,1.1290815313237077,0.20459299408067025,20.13609674873657,,gp
1.5,1,1.43,3,0.8,marginal,elevated_risk,34,0.7058823529411765,0.5252189396595142,0.8490163355769715,-0.09411764705882353,0.29411764705882354,1.0569681349986768,0.11468662335582497,16.51980387601275,,gp
1.5,1,1.43,3,0.8,adaptive,ALL,66,0.803030303030303,0.6867611541519059,0.8907397343822824,0.003030303030302939,0.19696969696969696,1.12398762654672,0.1919189840378479,18.396965462968755,,gp
1.5,1,1.43,3,0.8,adaptive,baseline,32,0.90625,0.7497730493162054,0.9802328198267152,0.10624999999999996,0.09375,1.185193320778979,0.23275139140238815,19.637146466289902,,gp
1.5,1,1.43,3,0.8,adaptive,elevated_risk,34,0.7058823529411765,0.5252189396595142,0.8490163355769715,-0.09411764705882353,0.29411764705882354,1.0708514996198186,0.14257982513902837,17.22973628337237,,gp
1.5,1,1.43,3,0.8,mondrian,ALL,66,0.7424242424242424,0.6199387593265298,0.8422336207426877,-0.05757575757575761,0.25757575757575757,1.0859289075059149,0.15528055532621235,18.818614485969462,,gp
1.5,1,1.43,3,0.8,mondrian,baseline,32,0.78125,0.6002717362878925,0.9072284677152807,-0.018750000000000044,0.21875,1.1192878346487716,0.19425073001778423,21.261100759048468,,gp
1.5,1,1.43,3,0.8,mondrian,elevated_risk,34,0.7058823529411765,0.5252189396595142,0.8490163355769715,-0.09411764705882353,0.29411764705882354,1.0569681349986768,0.11468662335582497,16.51980387601275,,gp
1.5,1,1.43,3,0.9,marginal,ALL,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,-0.08181818181818179,0.18181818181818182,1.127675167120855,0.1834631676626754,13.928748510121915,,gp
1.5,1,1.43,3,0.9,marginal,baseline,32,0.8125,0.63560769013591,0.9279238345415024,-0.08750000000000002,0.1875,1.167888152935431,0.23751110814632653,16.711054710382072,,gp
1.5,1,1.43,3,0.9,marginal,elevated_risk,34,0.8235294117647058,0.6546848689318661,0.9323593473172428,-0.07647058823529418,0.17647058823529413,1.0927639983945503,0.13327579435642783,11.310107380465297,,gp
1.5,1,1.43,3,0.9,adaptive,ALL,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.009090909090909038,0.09090909090909091,1.1926434829341137,0.24354043418395646,18.44074530609751,,gp
1.5,1,1.43,3,0.9,adaptive,baseline,32,0.9375,0.7919305701049926,0.9923392636535436,0.03749999999999998,0.0625,1.2700163521117773,0.3141266879230847,23.555177816862816,,gp
1.5,1,1.43,3,0.9,adaptive,elevated_risk,34,0.8823529411764706,0.7254965128576445,0.9669983196635304,-0.01764705882352946,0.11764705882352941,1.1254717165013763,0.1729541804448281,13.62716176655369,,gp
1.5,1,1.43,3,0.9,mondrian,ALL,66,0.8181818181818182,0.7039345441700697,0.9023647979841516,-0.08181818181818179,0.18181818181818182,1.11798387474692,0.17289000234033874,14.80630841575757,,gp
1.5,1,1.43,3,0.9,mondrian,baseline,32,0.8125,0.63560769013591,0.9279238345415024,-0.08750000000000002,0.1875,1.1470337910632153,0.2155514570922428,18.521022015755612,,gp
1.5,1,1.43,3,0.9,mondrian,elevated_risk,34,0.8235294117647058,0.6546848689318661,0.9323593473172428,-0.07647058823529418,0.17647058823529413,1.0927639983945503,0.13327579435642783,11.310107380465297,,gp
1.5,1,1.43,3,0.95,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1584879646619826,0.18492569681928359,13.833000660340021,,gp
1.5,1,1.43,3,0.95,marginal,baseline,32,0.9375,0.7919305701049926,0.9923392636535436,-0.012499999999999956,0.0625,1.20003603619414,0.23865085457352955,17.012190562556764,,gp
1.5,1,1.43,3,0.95,marginal,elevated_risk,34,1.0,0.8971820757409874,1.0,0.050000000000000044,0.0,1.1224177324688303,0.1375211458596548,10.840821928841914,,gp
1.5,1,1.43,3,0.95,adaptive,ALL,66,0.9848484848484849,0.9184476789051758,0.9996164704150047,0.034848484848484906,0.015151515151515152,1.2528517495324554,0.28795241740666,21.826161324608744,,gp
1.5,1,1.43,3,0.95,adaptive,baseline,32,1.0,0.8911188393206472,1.0,0.050000000000000044,0.0,1.344402543660359,0.3689554509615207,28.132688425278104,,gp
1.5,1,1.43,3,0.95,adaptive,elevated_risk,34,0.9705882352941176,0.8467323304396823,0.9992556357653097,0.020588235294117685,0.029411764705882353,1.1733713240906847,0.20940402123224963,15.890606406331703,,gp
1.5,1,1.43,3,0.95,mondrian,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1553597305090415,0.18164579814368845,13.749687153918385,,gp
1.5,1,1.43,3,0.95,mondrian,baseline,32,0.9375,0.7919305701049926,0.9923392636535436,-0.012499999999999956,0.0625,1.1933044957009526,0.23165373739892658,16.840356455562134,,gp
