rmse,mae,mape,mase,model,fold,n_test,arm
26.571273791802867,16.804530059497502,14.4103679709917,1.027618862963109,nbeatsx,5,64,dense
27.92183748359421,17.823319124436797,15.498328699021494,1.08991913894854,nbeats,5,64,dense
33.72258071381845,19.95125,20.562722567637344,1.1840196084538335,persistence,6,64,dense
21.873549094739978,14.506250000000001,13.018618779103686,0.8608826236518223,seasonal_naive_15,6,64,dense
94.34107526378423,81.18098214285715,83.70394282021815,4.817736968394629,drift,6,64,dense
47.87110466891507,41.40858333333334,39.42956755167898,2.45741868930324,rolling_mean_15,6,64,dense
48.13438552532053,41.50431841563786,39.458324496015884,2.463100148593535,train_mean,6,64,dense
84.29664673046017,79.3925,65.89231466710149,4.711598359209121,seasonal_naive_24,6,64,dense
19.713506274632714,14.305114974246965,13.332141609997544,0.8489461377455026,ridge,6,64,dense
15.553386148196273,11.074430462893108,10.721663223956647,0.6572191126131898,random_forest,6,64,dense
16.64934290716146,12.219891526699067,11.59170529752387,0.7251972272810248,xgboost,6,64,dense
19.652191610378292,14.252456745858584,13.478391347375767,0.8458211017222819,cnn_cov,6,64,dense
18.89990940241,14.038716432165893,13.640233802399504,0.8331365469936699,lstm_cov,6,64,dense
20.07108846001763,14.711334624012725,14.403792200380819,0.8730535009764735,gru_cov,6,64,dense
19.40496408588208,14.243394966668557,13.669781284131673,0.8452833246783137,rnn_cov,6,64,dense
19.78277998164798,14.272473742437406,13.252729436033237,0.8470090231032318,dlinear,6,64,dense
19.753972874775236,14.488382167949819,13.39269293667594,0.859822245805423,nlinear,6,64,dense
18.387898242659002,13.459328573568488,12.869323508780809,0.7987524063769464,tcn,6,64,dense
21.866629349677375,16.954166469792,16.795749504985142,1.0061557819797873,transformer,6,64,dense
18.880957040770515,13.338842230999145,12.949347521695326,0.7916020678190622,nbeatsx,6,64,dense
19.523252540369775,14.47714553458596,14.382814725832732,0.8591554006585868,nbeats,6,64,dense
33.148604372295765,18.579154929577467,18.32407390493533,1.1153560035762369,persistence,7,71,dense
33.097070377990164,23.68563380281691,20.73956702781955,1.421911489549159,seasonal_naive_15,7,71,dense
86.12713957706163,73.11643192488262,43.67546593928232,4.389373554211796,drift,7,71,dense
