rmse,mae,mape,mase,model,fold,n_test,arm
23.021607703726445,17.11546509047587,14.806512648130091,1.0274868160053559,ridge,7,71,lags_only
21.37844329221298,14.939962498720716,13.202759066283726,0.896885618819206,random_forest,7,71,lags_only
20.796507284389538,14.344230133916291,12.425702752186595,0.8611222231142973,xgboost,7,71,lags_only
19.643973094504027,14.480064586084733,12.770576388354208,0.8692767259586314,cnn,7,71,lags_only
22.419120070604315,16.274163928763244,14.659240794023445,0.976981273364231,lstm,7,71,lags_only
22.177234329691746,15.984470346170156,14.154913248633108,0.9595901983789891,gru,7,71,lags_only
22.115771287755432,15.857050301270116,14.647117827846534,0.9519408347457183,rnn,7,71,lags_only
22.217004748615416,13.846250000000001,11.769277074468782,0.8026087824796384,persistence,0,64,full_sparse
22.55274983233752,15.558125,12.227333355157661,0.9018389646233474,seasonal_naive_15,0,64,full_sparse
35.162209183314445,30.005377906976747,21.618948255504613,1.7392853537788244,drift,0,64,full_sparse
34.05211618322062,27.745208333333327,20.848923657743878,1.608272844998507,rolling_mean_15,0,64,full_sparse
33.41321644128743,26.89336594202898,20.80747525478881,1.5588951301262979,train_mean,0,64,full_sparse
23.34235280128712,17.444321966043017,12.42344036832045,1.0111738567733932,ridge,0,64,full_sparse
20.520955297680086,13.844739751680693,9.762291634979928,0.8025212397467829,random_forest,0,64,full_sparse
21.47489285767064,14.97505310535431,10.41279344185315,0.8680407431944642,xgboost,0,64,full_sparse
33.743654218237836,18.15,21.43764349610528,1.0691261923247874,persistence,1,64,full_sparse
36.7334125830966,20.762500000000003,23.10690702658165,1.2230155684927495,seasonal_naive_15,1,64,full_sparse
77.89357712707064,64.08457107843137,73.06035938746707,3.7749032211487896,drift,1,64,full_sparse
44.94696735783925,37.3065,39.00680446343849,2.197540291678495,rolling_mean_15,1,64,full_sparse
49.51616836311511,40.519333740831286,45.295011911211816,2.3867923414805645,train_mean,1,64,full_sparse
25.306313291513348,18.252185539773404,19.06728235142524,1.0751454340354538,ridge,1,64,full_sparse
25.236189909156444,16.673596004384578,19.61337387915255,0.9821585789823403,random_forest,1,64,full_sparse
