model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_parameters_mean,n_parameters_std,n_parameters_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence,operator
random_forest__default_cov,14.048039815041689,2.3171149420075503,8,13.490646460204628,4.120766249591577,8,0.8329386180359377,0.14144956456008426,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.529112116353964,4.505622719723342,8,0.312585543006598,True,robi
random_forest__default,14.048039815041689,2.3171149420075503,8,13.49064646020463,4.120766249591579,8,0.8329386180359377,0.14144956456008426,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.529112116353968,4.505622719723342,8,0.3125855430065979,True,robi
nlinear__default,14.801793207323065,1.8199618339430292,8,13.560831256698746,1.9116292695704549,8,0.8787275111876319,0.12133533148906459,8,47.0,0.0,8,64.875,2.4748737341529163,8,20.64094792319048,3.4836436452161457,8,0.3088407366071191,True,robi
xgboost__default_cov,14.459780258137576,2.1227958011055392,8,13.638494855179992,3.8719555658585603,8,0.8572833492743847,0.12956207328689714,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.773030188144247,3.9775224018658575,8,0.3044179803803984,True,robi
xgboost__default,14.459780258137576,2.1227958011055392,8,13.638494855179992,3.8719555658585603,8,0.8572833492743847,0.12956207328689714,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.773030188144247,3.9775224018658575,8,0.3044179803803984,True,robi
gru_cov__default,15.161383082633334,2.4604954666548706,8,14.7184728213591,3.5279868940255894,8,0.8997066953527859,0.15258749933109328,8,0.0,0.0,8,64.875,2.4748737341529163,8,20.86291516106368,3.8996002255608784,8,0.30140819459419016,True,robi
dlinear__default,15.082899233219187,1.781231787874842,8,13.691327730658573,1.767066200321762,8,0.8952934482636354,0.11837493852846069,8,71.0,0.0,8,64.875,2.4748737341529163,8,20.95258667773306,3.4322037516499697,8,0.2984055563607542,True,robi
ridge__default_cov,15.290085360339514,1.8631205620488165,8,13.912421127825136,1.9702858723868943,8,0.907530481488739,0.12265565044764513,8,0.0,0.0,8,64.875,2.4748737341529163,8,21.01108549198681,3.5152600376553913,8,0.2964467317215256,True,robi
ridge__default,15.290085360339514,1.8631205620488165,8,13.912421127825136,1.9702858723868943,8,0.907530481488739,0.12265565044764513,8,0.0,0.0,8,64.875,2.4748737341529163,8,21.01108549198681,3.5152600376553913,8,0.2964467317215256,True,robi
nbeats__tuned,13.902682869517347,2.023921146752377,8,13.763209216398796,3.0808949515742263,8,0.8358853624876478,0.12627971880096509,8,21284.0,0.0,8,65.5,1.4142135623730951,8,21.05529248010007,4.1026226097972645,8,0.29496646688800743,True,robi
