operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
robi,2,0.95,marginal,elevated_risk,28,0.9642857142857143,0.8165224024553763,0.999096201244342,0.014285714285714346,0.03571428571428571,1.3731983541165762,0.5159675231474269,54.425433153424926,
robi,2,0.95,adaptive,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.4656786925420826,0.6485931403039841,67.09787659916077,
robi,2,0.95,adaptive,baseline,37,0.972972972972973,0.858396904388842,0.9993159689753053,0.02297297297297307,0.02702702702702703,1.4914612021769653,0.6079670912480937,60.16357967130162,
robi,2,0.95,adaptive,elevated_risk,28,0.8571428571428571,0.6733473306842048,0.9596643692029087,-0.09285714285714286,0.14285714285714285,1.4327042196932585,0.7095322138878197,76.26105468240324,
robi,2,0.95,mondrian,ALL,65,0.9692307692307692,0.893229679425601,0.9962517377804871,0.019230769230769273,0.03076923076923077,1.3999102599819397,0.5116412401706022,54.220489638108454,
robi,2,0.95,mondrian,baseline,37,0.972972972972973,0.858396904388842,0.9993159689753053,0.02297297297297307,0.02702702702702703,1.4207961123046526,0.5083965279379836,54.06539724813924,
robi,2,0.95,mondrian,elevated_risk,28,0.9642857142857143,0.8165224024553763,0.999096201244342,0.014285714285714346,0.03571428571428571,1.3731983541165762,0.5159675231474269,54.425433153424926,
robi,3,0.8,marginal,ALL,65,0.8153846153846154,0.6997163826053059,0.90080033981516,0.01538461538461533,0.18461538461538463,1.134404085488031,0.29432756103347,63.95103132981522,
robi,3,0.8,marginal,baseline,63,0.8095238095238095,0.6909115309144425,0.8975157564061429,0.00952380952380949,0.19047619047619047,1.1306304414150683,0.296405681126838,64.87823074098618,
robi,3,0.8,adaptive,ALL,65,0.8615384615384616,0.7533617146788831,0.9346803759921305,0.06153846153846154,0.13846153846153847,1.1683436835962708,0.3100913619279303,47.931982710814395,
robi,3,0.8,adaptive,baseline,63,0.8571428571428571,0.746058549356512,0.9325368444285195,0.05714285714285705,0.14285714285714285,1.1654064387601057,0.31223936641844624,48.29956883440812,
robi,3,0.8,mondrian,ALL,65,0.8153846153846154,0.6997163826053059,0.90080033981516,0.01538461538461533,0.18461538461538463,1.1346806421149616,0.29462514246988475,63.986348036545984,
robi,3,0.8,mondrian,baseline,63,0.8095238095238095,0.6909115309144425,0.8975157564061429,0.00952380952380949,0.19047619047619047,1.1306304414150683,0.296405681126838,64.87823074098618,
robi,3,0.9,marginal,ALL,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.234627840631144,0.38986804241033807,55.68868831693208,
robi,3,0.9,marginal,baseline,63,0.873015873015873,0.7650344243043459,0.943548720454697,-0.026984126984127,0.12698412698412698,1.2313142008609268,0.39207163965648545,55.9472823079427,
robi,3,0.9,adaptive,ALL,65,0.9076923076923077,0.809834160783301,0.9653663477859001,0.007692307692307665,0.09230769230769231,1.2365991580915086,0.37289958017242497,43.87143706894937,
robi,3,0.9,adaptive,baseline,63,0.9047619047619048,0.804143979441893,0.9642409881346669,0.004761904761904745,0.09523809523809523,1.2343769437118115,0.3754309691468014,43.88447823693255,
robi,3,0.9,mondrian,ALL,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.2231992853132183,0.3757843113981776,56.73400379826472,
robi,3,0.9,mondrian,baseline,63,0.873015873015873,0.7650344243043459,0.943548720454697,-0.026984126984127,0.12698412698412698,1.2167599668403304,0.37476594359860244,56.68145155649337,
robi,3,0.95,marginal,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3601832319862184,0.5132589095721901,52.506733356182394,
robi,3,0.95,marginal,baseline,63,0.9206349206349206,0.8244240502751522,0.9737276593559724,-0.029365079365079372,0.07936507936507936,1.3574458629830826,0.5158048019026907,52.155309201195124,
robi,3,0.95,adaptive,ALL,65,0.9692307692307692,0.893229679425601,0.9962517377804871,0.019230769230769273,0.03076923076923077,1.4471026454107665,0.5916175323519318,58.48564461987126,
robi,3,0.95,adaptive,baseline,63,0.9682539682539683,0.8899806265911197,0.9961320175035812,0.0182539682539683,0.031746031746031744,1.4470856227133346,0.5962337057350081,58.266747081863436,
robi,3,0.95,mondrian,ALL,65,0.9076923076923077,0.809834160783301,0.9653663477859001,-0.04230769230769227,0.09230769230769231,1.3336440778268643,0.4899991907983608,52.911309476412264,
robi,3,0.95,mondrian,baseline,63,0.9047619047619048,0.804143979441893,0.9642409881346669,-0.04523809523809519,0.09523809523809523,1.3272808183993694,0.48920814414297875,52.23488699776785,
robi,4,0.8,marginal,ALL,65,0.6923076923076923,0.5655271109662937,0.8008931080792977,-0.10769230769230775,0.3076923076923077,1.0698398234256894,0.2448624908770326,70.5616573580228,
robi,4,0.8,marginal,baseline,65,0.6923076923076923,0.5655271109662937,0.8008931080792977,-0.10769230769230775,0.3076923076923077,1.0698398234256894,0.2448624908770326,70.5616573580228,
robi,4,0.8,adaptive,ALL,65,0.6923076923076923,0.5655271109662937,0.8008931080792977,-0.10769230769230775,0.3076923076923077,1.099329851996877,0.2805407812679353,51.89979584304973,
robi,4,0.8,adaptive,baseline,65,0.6923076923076923,0.5655271109662937,0.8008931080792977,-0.10769230769230775,0.3076923076923077,1.099329851996877,0.2805407812679353,51.89979584304973,
robi,4,0.8,mondrian,ALL,65,0.6923076923076923,0.5655271109662937,0.8008931080792977,-0.10769230769230775,0.3076923076923077,1.0690581977707745,0.24383655844330793,70.81817379995493,
robi,4,0.8,mondrian,baseline,65,0.6923076923076923,0.5655271109662937,0.8008931080792977,-0.10769230769230775,0.3076923076923077,1.0690581977707745,0.24383655844330793,70.81817379995493,
robi,4,0.9,marginal,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,-0.0692307692307692,0.16923076923076924,1.1540194318619899,0.3023281206185987,52.8715024601863,
robi,4,0.9,marginal,baseline,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,-0.0692307692307692,0.16923076923076924,1.1540194318619899,0.3023281206185987,52.8715024601863,
robi,4,0.9,adaptive,ALL,65,0.8153846153846154,0.6997163826053059,0.90080033981516,-0.08461538461538465,0.18461538461538463,1.1527928578058013,0.3016891200513099,37.16100681296934,
robi,4,0.9,adaptive,baseline,65,0.8153846153846154,0.6997163826053059,0.90080033981516,-0.08461538461538465,0.18461538461538463,1.1527928578058013,0.3016891200513099,37.16100681296934,
robi,4,0.9,mondrian,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,-0.0692307692307692,0.16923076923076924,1.1540194318619899,0.3023281206185987,52.8715024601863,
robi,4,0.9,mondrian,baseline,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,-0.0692307692307692,0.16923076923076924,1.1540194318619899,0.3023281206185987,52.8715024601863,
robi,4,0.95,marginal,ALL,65,0.8615384615384616,0.7533617146788831,0.9346803759921305,-0.08846153846153837,0.13846153846153847,1.2406968785365518,0.39547856335500864,45.070548945500306,
robi,4,0.95,marginal,baseline,65,0.8615384615384616,0.7533617146788831,0.9346803759921305,-0.08846153846153837,0.13846153846153847,1.2406968785365518,0.39547856335500864,45.070548945500306,
robi,4,0.95,adaptive,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.2314068394497548,0.3599547300978894,35.45874698511267,
robi,4,0.95,adaptive,baseline,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.2314068394497548,0.3599547300978894,35.45874698511267,
robi,4,0.95,mondrian,ALL,65,0.8615384615384616,0.7533617146788831,0.9346803759921305,-0.08846153846153837,0.13846153846153847,1.2216770784934445,0.37244766625853293,46.43975738525391,
robi,4,0.95,mondrian,baseline,65,0.8615384615384616,0.7533617146788831,0.9346803759921305,-0.08846153846153837,0.13846153846153847,1.2216770784934445,0.37244766625853293,46.43975738525391,
robi,5,0.8,marginal,ALL,65,0.676923076923077,0.5494504329002265,0.787672393060607,-0.12307692307692308,0.3230769230769231,1.0471396752354656,0.25200603416207285,102.32523783052888,
robi,5,0.8,marginal,baseline,36,0.6388888888888888,0.46220900016816396,0.7917770529134072,-0.1611111111111112,0.3611111111111111,1.0286129901165793,0.23587198187852526,118.03826519436309,
