rmse,mae,mape,mase,model,fold,n_test,arm
15.747271970279389,12.316441834801106,16.743945609901232,0.8719880386276183,train_mean,3,66,full_sparse
10.029045850251801,7.138657797642039,9.093471123894702,0.505407673327445,ridge,3,66,full_sparse
9.67848756334599,7.079493485127192,9.017428816254718,0.5012189170682468,random_forest,3,66,full_sparse
9.783533805374796,7.081958165042318,9.019518582258378,0.5013934131957699,xgboost,3,66,full_sparse
10.457072297752912,5.528836754242424,7.643841291817176,0.3963255753772113,persistence,4,66,full_sparse
16.15940249059515,12.788856302727272,17.190869563200522,0.9167481439392521,seasonal_naive_17,4,66,full_sparse
19.312311340921365,14.768064591640304,21.18958502763608,1.0586244370479072,drift,4,66,full_sparse
15.158850762954797,11.844574777041002,15.266240120107344,0.8490588748179464,rolling_mean_17,4,66,full_sparse
17.63533074048202,13.908824309681227,19.499277720246262,0.9970312097070197,train_mean,4,66,full_sparse
9.76164265673164,6.601155252658677,9.028655514558452,0.47319296444351805,ridge,4,66,full_sparse
10.26998934345464,7.010649611948751,9.883566322718023,0.50254689453285,random_forest,4,66,full_sparse
11.707330593103928,8.356312430621154,11.457929983114637,0.5990085219203523,xgboost,4,66,full_sparse
13.639203607412181,7.4516129039393935,8.638370298114372,0.5386069115423431,persistence,5,66,full_sparse
20.761917825604847,16.976539585909087,18.745006195983837,1.2270741479618317,seasonal_naive_17,5,66,full_sparse
21.099616111363172,16.78828213850109,20.010890948914238,1.2134667902487568,drift,5,66,full_sparse
18.327857677357105,14.692312115213902,16.48111883153792,1.0619688587967306,rolling_mean_17,5,66,full_sparse
21.61705958496943,18.37199255686039,19.035297616856372,1.3279382997335005,train_mean,5,66,full_sparse
12.542879026023455,8.858125955822224,10.109936307265633,0.6402704923918144,ridge,5,66,full_sparse
12.52583247305402,8.744578277113806,9.329054285817314,0.632063200181344,random_forest,5,66,full_sparse
12.959421336530909,9.428759241697144,9.935474425569959,0.6815161979444829,xgboost,5,66,full_sparse
12.666160472452693,6.801564024848484,7.731583183548746,0.4817443236015192,persistence,6,66,full_sparse
18.94385919770701,14.348973611818183,16.21754318995845,1.0163157417540278,seasonal_naive_17,6,66,full_sparse
18.80153138566829,15.445139299320308,17.136556410200498,1.0939554722265596,drift,6,66,full_sparse
17.22896064331577,13.608763148698753,15.36181527888234,0.9638877726023031,rolling_mean_17,6,66,full_sparse
20.756919636676372,17.709303654770288,17.94123397328843,1.2543227527452812,train_mean,6,66,full_sparse
11.18809143471084,7.797409144307365,8.721339523365772,0.5522785024658106,ridge,6,66,full_sparse
11.37470656598143,7.433733625144245,8.215281438542824,0.5265199245343808,random_forest,6,66,full_sparse
11.104575922881885,7.628710854293915,8.29853034607193,0.540329861929846,xgboost,6,66,full_sparse
13.139703514385852,7.003370247164179,8.877826513032309,0.4953686478868597,persistence,7,67,full_sparse
20.36246019464597,16.756860851940296,20.253296826178307,1.1852612685178403,seasonal_naive_17,7,67,full_sparse
26.001616621880263,19.97660193552184,26.79396565320512,1.413002874463263,drift,7,67,full_sparse
17.94091810794005,13.832677219385426,17.097159226145163,0.978425296534474,rolling_mean_17,7,67,full_sparse
18.919883968308568,15.562038421508852,18.632788616268428,1.1007480197620174,train_mean,7,67,full_sparse
11.93496332841493,7.826118083457576,9.803608104710326,0.5535639836798704,ridge,7,67,full_sparse
11.550200797274908,7.435505633007797,9.695571956293897,0.5259348344848194,random_forest,7,67,full_sparse
11.35829558626401,7.672890612385727,9.781546251651074,0.542725761154834,xgboost,7,67,full_sparse
12.328137424994067,6.993157383030303,8.88845413482695,0.5032425538739069,persistence,0,66,full_dense
18.598225368216266,15.327468233181817,19.372869070496954,1.1029973780949258,seasonal_naive_17,0,66,full_dense
28.668449098852022,23.602066990470085,31.582299263629015,1.6984551924727838,drift,0,66,full_dense
15.405034187266022,11.504053827718359,14.685171231413916,0.8278563045373971,rolling_mean_17,0,66,full_dense
17.10490958965199,13.695075762215916,17.866988780493728,0.9855269264779131,train_mean,0,66,full_dense
8.74984961003652,6.729433471610417,8.318501617752116,0.48426441747122667,ridge,0,66,full_dense
7.6747584261089035,5.120212198369572,6.623630306671068,0.3684614147733202,random_forest,0,66,full_dense
7.91646404239009,5.0125418633902985,6.669396954016324,0.36071322731182914,xgboost,0,66,full_dense
7.970361272251584,5.613658041381979,6.808526808364668,0.4039708324275847,cnn,0,66,full_dense
8.189883615430958,6.153579334916005,7.523306896532329,0.4428247228474264,lstm,0,66,full_dense
8.536017253114837,6.060303007791211,7.552932273670192,0.43611235895981165,gru,0,66,full_dense
