rmse,mae,mape,mase,model,fold,n_test,base_model,variant,n_parameters
8.845561713401194,5.199305952937858,6.7121568666090505,0.36898357907446455,random_forest__tuned,7,71,random_forest,tuned,0
7.91646404239009,5.0125418633902985,6.669396954016324,0.36071322731182914,xgboost__default_cov,0,66,xgboost,default_cov,0
6.628274942054605,4.565873984134559,5.416081077660691,0.3230929203445079,xgboost__default_cov,1,66,xgboost,default_cov,0
8.729639805667029,4.963154829108813,7.2418550779721205,0.34906186526759364,xgboost__default_cov,2,66,xgboost,default_cov,0
7.4079033060633765,5.486377839160896,7.246294035496463,0.38842840451064387,xgboost__default_cov,3,66,xgboost,default_cov,0
9.60802312443233,5.972440106849847,8.857007872443134,0.4281245525900024,xgboost__default_cov,4,66,xgboost,default_cov,0
11.776598270709925,8.692907266788293,8.98875518479029,0.6283283895240452,xgboost__default_cov,5,66,xgboost,default_cov,0
8.86175149989439,5.963626983835226,6.53225913294691,0.4223945311760067,xgboost__default_cov,6,66,xgboost,default_cov,0
8.936233281882098,5.861377550778917,7.440214181799802,0.41459219912862016,xgboost__default_cov,7,67,xgboost,default_cov,0
7.91646404239009,5.0125418633902985,6.669396954016324,0.36071322731182914,xgboost__default,0,66,xgboost,default,0
6.628274942054605,4.565873984134559,5.416081077660691,0.3230929203445079,xgboost__default,1,66,xgboost,default,0
8.729639805667029,4.963154829108813,7.2418550779721205,0.34906186526759364,xgboost__default,2,66,xgboost,default,0
7.4079033060633765,5.486377839160896,7.246294035496463,0.38842840451064387,xgboost__default,3,66,xgboost,default,0
9.60802312443233,5.972440106849847,8.857007872443134,0.4281245525900024,xgboost__default,4,66,xgboost,default,0
11.776598270709925,8.692907266788293,8.98875518479029,0.6283283895240452,xgboost__default,5,66,xgboost,default,0
8.86175149989439,5.963626983835226,6.53225913294691,0.4223945311760067,xgboost__default,6,66,xgboost,default,0
8.936233281882098,5.861377550778917,7.440214181799802,0.41459219912862016,xgboost__default,7,67,xgboost,default,0
6.679093643313956,4.3424849741049645,5.7135961954805605,0.3133474572118105,xgboost__tuned,0,66,xgboost,tuned,0
6.866498046495617,4.838703516700698,6.01038673585061,0.3491060503253861,xgboost__tuned,1,66,xgboost,tuned,0
8.586408937328873,4.87166865581543,6.844494092224138,0.3447113928673863,xgboost__tuned,2,66,xgboost,tuned,0
10.455248523137914,7.35637532759943,10.08735980946899,0.5238160909562946,xgboost__tuned,3,66,xgboost,tuned,0
8.753055283310099,5.666317865256571,8.239562510280566,0.40856827582071864,xgboost__tuned,4,66,xgboost,tuned,0
11.217295129571845,8.073864005576466,8.139035501698512,0.5855839106859142,xgboost__tuned,5,66,xgboost,tuned,0
8.31762995172189,5.46288706210109,6.114955027573765,0.38797257163116977,xgboost__tuned,6,66,xgboost,tuned,0
