rmse,mae,mape,mase,model,fold,n_test,base_model,variant,n_parameters
17.52291721742448,12.191646883540528,8.789962518135289,0.7066984101558286,lstm_cov__default_cov,0,64,lstm_cov,default_cov,0
30.525906060480004,21.410637829364248,24.804622174576913,1.261194143126901,lstm_cov__default_cov,1,64,lstm_cov,default_cov,0
21.390220860812764,15.567462622767975,15.551231168234828,0.8892882118373446,lstm_cov__default_cov,2,64,lstm_cov,default_cov,0
17.99265503497463,14.709503337358397,15.734767372103583,0.8698589284045102,lstm_cov__default_cov,3,64,lstm_cov,default_cov,0
15.979108036321383,12.462972256871598,11.111541437386643,0.7541762207960068,lstm_cov__default_cov,4,64,lstm_cov,default_cov,0
29.30917377736274,19.07960630494568,14.005355315914084,1.1667427335042257,lstm_cov__default_cov,5,64,lstm_cov,default_cov,0
23.462514561747923,17.404991119831735,14.746371110377948,1.032910257294436,lstm_cov__default_cov,6,64,lstm_cov,default_cov,0
23.293756115449153,15.91117331101142,12.943729305524906,0.9551899827330941,lstm_cov__default_cov,7,71,lstm_cov,default_cov,0
15.470504226391645,12.108452105102863,8.979100515701312,0.7018759593239775,lstm_cov__default,0,64,lstm_cov,default,0
27.103119012830298,18.768775332539068,21.238070567848528,1.105575168367873,lstm_cov__default,1,64,lstm_cov,default,0
17.38589707986621,11.364051220832298,12.87166482213426,0.649169169972612,lstm_cov__default,2,64,lstm_cov,default,0
16.71977590765261,12.95201788658151,13.91686054108584,0.7659285389251708,lstm_cov__default,3,64,lstm_cov,default,0
17.01419489203895,12.93947491873752,11.902924581115123,0.7830109938596423,lstm_cov__default,4,64,lstm_cov,default,0
24.44230956770891,15.675527208414756,14.224848504574666,0.9585788706512708,lstm_cov__default,5,64,lstm_cov,default,0
18.89990940241,14.038716432165893,13.640233802399504,0.8331365469936699,lstm_cov__default,6,64,lstm_cov,default,0
22.49882441315046,16.543628224468033,14.655720426753946,0.9931579305428261,lstm_cov__default,7,71,lstm_cov,default,0
19.997005262688266,13.774081118116367,11.966190800101522,0.7978629793434214,lstm_cov__tuned,0,63,lstm_cov,tuned,0
24.177584560416154,17.474468218472047,19.258079664897863,1.0132737192797816,lstm_cov__tuned,1,63,lstm_cov,tuned,0
18.215379382720702,12.944721868357265,13.215462915093553,0.7565387335420215,lstm_cov__tuned,2,63,lstm_cov,tuned,0
15.3287709595566,10.578108017197414,11.262204360703228,0.6393701810347089,lstm_cov__tuned,3,63,lstm_cov,tuned,0
22.0333642209898,16.874959461984982,14.061369424718945,1.030872647795488,lstm_cov__tuned,4,63,lstm_cov,tuned,0
21.189973435263127,14.18690798628184,12.416192548507428,0.8797058843583649,lstm_cov__tuned,5,63,lstm_cov,tuned,0
17.883653324477304,14.061348088710943,12.740812859268628,0.8424274882110685,lstm_cov__tuned,6,63,lstm_cov,tuned,0
22.880968316250982,16.86340419242074,14.265143928058574,1.0230388832821065,lstm_cov__tuned,7,63,lstm_cov,tuned,0
16.75139478530053,11.722236103316861,8.41748835778266,0.6794886447104456,gru_cov__default_cov,0,64,gru_cov,default_cov,0
32.05327465645963,23.413936584808894,26.253027847239057,1.3791985051377837,gru_cov__default_cov,1,64,gru_cov,default_cov,0
19.58021705173931,13.283921637127527,13.02937981508056,0.758841386366412,gru_cov__default_cov,2,64,gru_cov,default_cov,0
18.200969158146325,14.092222432020897,15.292703030176668,0.8333554996668631,gru_cov__default_cov,3,64,gru_cov,default_cov,0
17.833250177332406,14.020624631499505,12.081444945553152,0.8484349864418255,gru_cov__default_cov,4,64,gru_cov,default_cov,0
28.63753069409525,20.05778980179474,14.9310992418459,1.2265599262041902,gru_cov__default_cov,5,64,gru_cov,default_cov,0
20.315751155156825,14.696266007861755,12.387950415622146,0.8721592443762599,gru_cov__default_cov,6,64,gru_cov,default_cov,0
20.3633101856343,14.26072285005692,11.331271971509945,0.8561090591276719,gru_cov__default_cov,7,71,gru_cov,default_cov,0
18.21498825081383,14.390555848841114,10.40598474983821,0.8341598995427358,gru_cov__default,0,64,gru_cov,default,0
28.03822818976796,20.037715081875007,22.697880012710087,1.1803220952272173,gru_cov__default,1,64,gru_cov,default,0
17.63298796223734,11.742943452928564,12.935004264504613,0.6708133135125589,gru_cov__default,2,64,gru_cov,default,0
17.302698928584917,13.54188110420154,14.569089990673445,0.8008105994962479,gru_cov__default,3,64,gru_cov,default,0
18.46317831270197,14.248337680532156,13.497133996967522,0.8622146662169042,gru_cov__default,4,64,gru_cov,default,0
24.92862623012386,16.195054367471485,14.76939679553762,0.9903486319345741,gru_cov__default,5,64,gru_cov,default,0
20.07108846001763,14.711334624012725,14.403792200380819,0.8730535009764735,gru_cov__default,6,64,gru_cov,default,0
22.25152495426193,16.42324250120408,14.469500560260485,0.9859308559155749,gru_cov__default,7,71,gru_cov,default,0
19.63930340822788,13.361511115828657,11.321137510182268,0.7739648820119015,gru_cov__tuned,0,63,gru_cov,tuned,0
23.992339458109186,17.974836285102597,19.22220440789046,1.0422880392318827,gru_cov__tuned,1,63,gru_cov,tuned,0
17.928890637976046,12.992412747772383,13.832500830032037,0.7593259697515854,gru_cov__tuned,2,63,gru_cov,tuned,0
16.146581857474473,12.020298124995751,12.328795206844127,0.7265401502589209,gru_cov__tuned,3,63,gru_cov,tuned,0
22.50329867060194,17.64968367915441,14.602449325925623,1.0781996951204829,gru_cov__tuned,4,63,gru_cov,tuned,0
21.556406816409382,15.219331283437345,13.269283055389971,0.9437246860968821,gru_cov__tuned,5,63,gru_cov,tuned,0
17.71319924972617,13.165260006232147,11.74799898315111,0.788742078549349,gru_cov__tuned,6,63,gru_cov,tuned,0
