operator,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error
gp,1,0.9,adaptive,elevated_risk,17,0.8823529411764706,0.6355908378987498,0.9854206831596976,-0.01764705882352946,0.11764705882352941,1.11904907035139,0.16562866632457157,16.868774525852654,
gp,1,0.9,mondrian,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1281426553934075,0.17236818858482933,16.201786532053006,
gp,1,0.9,mondrian,baseline,49,0.9591836734693877,0.8602128129775362,0.9950181581650287,0.05918367346938769,0.04081632653061224,1.1402313089711194,0.16892382215444762,14.346133297902384,
gp,1,0.9,mondrian,elevated_risk,17,0.7058823529411765,0.4404172812456629,0.8968644856296799,-0.1941176470588235,0.29411764705882354,1.095441731273369,0.18585862377049087,21.550434089310667,
gp,1,0.95,marginal,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1839267018988233,0.21550360988801018,17.373026967414322,
gp,1,0.95,marginal,baseline,49,1.0,0.9274807363357226,1.0,0.050000000000000044,0.0,1.1969569092740533,0.21948835594961325,17.550040542152615,
gp,1,0.95,marginal,elevated_risk,17,0.8823529411764706,0.6355908378987498,0.9854206831596976,-0.0676470588235294,0.11764705882352941,1.1486787878191786,0.20248677275344013,16.862811369639246,
gp,1,0.95,adaptive,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.187990146422023,0.2210058568168481,17.15358680531223,
gp,1,0.95,adaptive,baseline,49,0.9591836734693877,0.8602128129775362,0.9950181581650287,0.009183673469387754,0.04081632653061224,1.1839115237804796,0.2202641305761116,16.548988747189366,
gp,1,0.95,adaptive,elevated_risk,17,1.0,0.8049356770309068,1.0,0.050000000000000044,0.0,1.1990231972624636,0.2230565117177078,18.896251796372265,
gp,1,0.95,mondrian,ALL,66,0.9696969696969697,0.8947833514203487,0.9963088610385701,0.01969696969696977,0.030303030303030304,1.1839267018988233,0.21550360988801018,17.373026967414322,
gp,1,0.95,mondrian,baseline,49,1.0,0.9274807363357226,1.0,0.050000000000000044,0.0,1.1969569092740533,0.21948835594961325,17.550040542152615,
