model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_parameters_mean,n_parameters_std,n_parameters_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence,operator
lstm_cov__default_cov,8.78345538212171,2.1132549074519327,8,10.854075101112993,3.17212537800852,8,0.6256097745075413,0.15329671756013155,8,0.0,0.0,8,66.125,0.3535533905932738,8,11.938162064130802,2.992223329018459,8,0.01856603119967123,True,gp
persistence,6.522293225857643,0.6549229193848517,8,8.218555679067494,0.5441997949874258,8,0.46435663529791105,0.048771709265529525,8,0.0,0.0,8,66.125,0.3535533905932738,8,12.163999253789434,1.0896886305206146,8,0.0,False,gp
nlinear__default_cov,9.488250254842772,2.7626551989693064,8,11.292402380699263,3.255376139151651,8,0.6758296729111242,0.19896877478414127,8,411.0,0.0,8,66.125,0.3535533905932738,8,12.250705106349198,3.524336927995854,8,-0.007128071183722913,False,gp
transformer__default_cov,10.21865839888141,1.618877801827079,8,12.603387066417794,2.0235770095218757,8,0.7274831372758769,0.11669926975613823,8,18522.0,0.0,8,66.125,0.3535533905932738,8,13.611635386824414,1.8631008944418446,8,-0.11900988341346695,False,gp
cnn_cov__default_cov,10.897909470394083,4.0533118576553475,8,13.25459330673042,5.144399108317792,8,0.7764264131006399,0.29282014447031246,8,0.0,0.0,8,66.125,0.3535533905932738,8,14.311033146878383,6.14427724521235,8,-0.17650723650119318,False,gp
dlinear__default_cov,11.639092419051915,5.921470677053802,8,13.832968433415148,7.0283370142655555,8,0.8288215878937291,0.42183447248195416,8,795.0,0.0,8,66.125,0.3535533905932738,8,14.962464123792879,7.885235315458279,8,-0.2300612497268645,False,gp
rolling_mean_17,12.452828254578927,1.563569249941289,8,15.302854729639018,1.2944413204149188,8,0.8865299086583245,0.11393924418925493,8,0.0,0.0,8,66.125,0.3535533905932738,8,16.137667212050456,1.6374984945898232,8,-0.3266744658031042,False,gp
train_mean,14.739177201945663,2.244255420251108,8,17.97825534446326,1.1035966065050595,8,1.0495600048144629,0.1645155314291869,8,0.0,0.0,8,66.125,0.3535533905932738,8,18.21237450909714,2.0493313675615794,8,-0.4972357469870332,False,gp
seasonal_naive_17,14.618312396511476,1.6786538741295125,8,17.990653361282604,1.4095232101554345,8,1.0408069011973033,0.12401167570742253,8,0.0,0.0,8,66.125,0.3535533905932738,8,18.381161369426398,1.6964552872943883,8,-0.5111116817686534,False,gp
drift,19.22140923116754,4.9026874679247765,8,24.143496000959317,6.298262005454149,8,1.367585456748722,0.3466688368544414,8,0.0,0.0,8,66.125,0.3535533905932738,8,23.64523943381463,5.188770902231117,8,-0.9438705100584794,False,gp
seasonal_naive_24,25.190121605191937,3.3213209448095347,8,29.000287032076994,2.4300613135893947,8,1.7929160818506533,0.2372311207807702,8,0.0,0.0,8,66.125,0.3535533905932738,8,29.717031505944348,3.3979521898102583,8,-1.4430313489773228,False,gp
