operator,model,horizon_hours,steps,lead_hours,fold,n,rmse,mae
robi,chronos-bolt-small,1.5,1,1.65,7,69,30.246013391140163,19.377686320871547
robi,chronos-bolt-small,3.0,2,3.3,0,65,32.81154668788076,25.10100105168269
robi,chronos-bolt-small,3.0,2,3.3,1,65,49.97611922723351,35.429988018329325
robi,chronos-bolt-small,3.0,2,3.3,2,65,37.936052041661156,29.119057804987982
robi,chronos-bolt-small,3.0,2,3.3,3,65,32.008242383657596,26.645721801757812
robi,chronos-bolt-small,3.0,2,3.3,4,65,42.73159676927181,33.82229279972957
robi,chronos-bolt-small,3.0,2,3.3,5,65,36.165480980906096,23.270610736553486
robi,chronos-bolt-small,3.0,2,3.3,6,65,43.331335106606765,28.770225191556495
robi,chronos-bolt-small,3.0,2,3.3,7,69,35.771991407512296,27.39281950135162
robi,chronos-bolt-small,6.0,4,6.6,0,65,34.79287454639749,27.874152930626504
robi,chronos-bolt-small,6.0,4,6.6,1,65,55.608418170157776,42.06057446289062
robi,chronos-bolt-small,6.0,4,6.6,2,65,37.27380298130463,29.78573735163762
robi,chronos-bolt-small,6.0,4,6.6,3,65,34.44973986456623,29.484272798978367
robi,chronos-bolt-small,6.0,4,6.6,4,65,43.259087342915976,34.46064967698317
robi,chronos-bolt-small,6.0,4,6.6,5,65,37.28284071334527,27.160748544546273
robi,chronos-bolt-small,6.0,4,6.6,6,65,42.7818765312751,29.992254540076626
robi,chronos-bolt-small,6.0,4,6.6,7,67,37.240645207929674,30.921632426247665
robi,chronos-bolt-small,12.0,7,11.55,0,65,37.18549096458339,30.513318974421576
robi,chronos-bolt-small,12.0,7,11.55,1,65,56.90150329573985,45.176000661996696
robi,chronos-bolt-small,12.0,7,11.55,2,65,38.727514780630685,31.667667682354267
robi,chronos-bolt-small,12.0,7,11.55,3,65,36.58563957284474,31.546781489445607
robi,chronos-bolt-small,12.0,7,11.55,4,65,44.62750594837008,37.1143732816256
robi,chronos-bolt-small,12.0,7,11.55,5,65,40.241379869072766,30.288648404634916
robi,chronos-bolt-small,12.0,7,11.55,6,65,44.786621612604385,33.18941163517879
robi,chronos-bolt-small,12.0,7,11.55,7,66,41.43542276797548,34.42368231108694
robi,chronos-bolt-small,24.0,15,24.75,0,64,46.768680124820904,39.20733442306519
robi,chronos-bolt-small,24.0,15,24.75,1,64,53.706356645655056,45.0778714799881
robi,chronos-bolt-small,24.0,15,24.75,2,64,44.56221019735865,38.63264365196228
robi,chronos-bolt-small,24.0,15,24.75,3,64,40.74723864935476,37.00979878902435
robi,chronos-bolt-small,24.0,15,24.75,4,64,39.23777111796804,32.8107375717163
robi,chronos-bolt-small,24.0,15,24.75,5,64,39.71726009652184,30.810530905723574
robi,chronos-bolt-small,24.0,15,24.75,6,64,42.02353533324185,32.75181919574737
robi,chronos-bolt-small,24.0,15,24.75,7,68,42.30708879393161,36.72749658023609
