operator,model,horizon_hours,lead_hours,fold,tau,method,n,coverage,mean_allocation_ratio,natively_expressible
gp,chronos-bolt-small,3.0,2.87,4,0.8,zero_shot,66,0.8181818181818181,1.0980135469785617,True
gp,chronos-bolt-small,3.0,2.87,4,0.8,conformal,66,0.7878787878787878,1.0889549766497573,True
gp,chronos-bolt-small,3.0,2.87,4,0.9,zero_shot,66,0.8939393939393939,1.1484388161138828,True
gp,chronos-bolt-small,3.0,2.87,4,0.9,conformal,66,0.8787878787878788,1.1429390281939653,True
gp,chronos-bolt-small,3.0,2.87,4,0.95,zero_shot,66,0.8939393939393939,1.1484388161138828,False
gp,chronos-bolt-small,3.0,2.87,4,0.95,conformal,66,0.9696969696969697,1.1883196643627805,False
gp,chronos-bolt-small,3.0,2.87,5,0.8,zero_shot,66,0.5757575757575757,1.0492046129100023,True
gp,chronos-bolt-small,3.0,2.87,5,0.8,conformal,66,0.5151515151515151,1.0367289607878407,True
gp,chronos-bolt-small,3.0,2.87,5,0.9,zero_shot,66,0.7121212121212122,1.098243590369569,True
gp,chronos-bolt-small,3.0,2.87,5,0.9,conformal,66,0.696969696969697,1.0951988793954108,True
gp,chronos-bolt-small,3.0,2.87,5,0.95,zero_shot,66,0.7121212121212122,1.098243590369569,False
gp,chronos-bolt-small,3.0,2.87,5,0.95,conformal,66,0.7727272727272727,1.1168166988564416,False
gp,chronos-bolt-small,3.0,2.87,6,0.8,zero_shot,66,0.8333333333333334,1.128714921504458,True
gp,chronos-bolt-small,3.0,2.87,6,0.8,conformal,66,0.8333333333333334,1.140665760942547,True
gp,chronos-bolt-small,3.0,2.87,6,0.9,zero_shot,66,0.9393939393939394,1.1847347618042074,True
gp,chronos-bolt-small,3.0,2.87,6,0.9,conformal,66,0.9696969696969697,1.2099181613477181,True
gp,chronos-bolt-small,3.0,2.87,6,0.95,zero_shot,66,0.9393939393939394,1.1847347618042074,False
gp,chronos-bolt-small,3.0,2.87,6,0.95,conformal,66,1.0,1.2697771125780013,False
gp,chronos-bolt-small,3.0,2.87,7,0.8,zero_shot,71,0.8309859154929577,1.1195828191956514,True
gp,chronos-bolt-small,3.0,2.87,7,0.8,conformal,71,0.8309859154929577,1.1310236485253427,True
gp,chronos-bolt-small,3.0,2.87,7,0.9,zero_shot,71,0.9014084507042254,1.1730915166222764,True
gp,chronos-bolt-small,3.0,2.87,7,0.9,conformal,71,0.9295774647887324,1.18362114450445,True
